State: [np.float64(1.1487421381819367), np.float64(-0.36596035120914694), np.float64(1.3678721826453988), np.float64(0.012586630308108124), np.float64(-0.008229923554862536), np.float64(0.947022453579769)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196401415, Vel_cmd: [np.float64(12675980402965.92), np.float64(-22100912706991.51), np.float64(28325422839993.918)]
State: [np.float64(1.1827115816568743), np.float64(-0.35621917316371216), np.float64(1.3770099064414845), np.float64(0.011210445144784217), np.float64(-0.008897894867630774), np.float64(0.9522191849596927)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196401516, Vel_cmd: [np.float64(12677474915067.516), np.float64(-22389318816353.72), np.float64(28692759360173.125)]
State: [np.float64(1.2141091020540893), np.float64(-0.34728297838845573), np.float64(1.3855264459593182), np.float64(0.011041587337680661), np.float64(-0.006868960816047308), np.float64(0.9601273658030538)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196401616, Vel_cmd: [np.float64(12611915595843.988), np.float64(-22709365974474.086), np.float64(29058903182010.42)]
State: [np.float64(1.2481618753828319), np.float64(-0.33764762150110994), np.float64(1.3945979319653796), np.float64(0.009653795406629891), np.float64(-0.007836712678271199), np.float64(0.9664423409007548)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196401716, Vel_cmd: [np.float64(12575680726989.133), np.float64(-23006201898168.555), np.float64(29423776588051.68)]
State: [np.float64(1.2798556662005223), np.float64(-0.3287874616316834), np.float64(1.4033188913299908), np.float64(0.010825896506705363), np.float64(-0.0071717539746184), np.float64(0.9699698588596307)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196401816, Vel_cmd: [np.float64(12598258903666.781), np.float64(-23265125676002.227), np.float64(29787428667783.227)]
State: [np.float64(1.313029760521572), np.float64(-0.3195549185622228), np.float64(1.4127159207281432), np.float64(0.009978107222436021), np.float64(-0.0028636663138468643), np.float64(0.975501231518062)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196401917, Vel_cmd: [np.float64(12569043497667.77), np.float64(-23546242645824.094), np.float64(30149764741010.12)]
State: [np.float64(1.3476457053330888), np.float64(-0.31007929719122646), np.float64(1.4225576585739674), np.float64(0.005302898858379054), np.float64(-0.006886990108401882), np.float64(0.9837483942604601)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196402017, Vel_cmd: [np.float64(12469294820336.15), np.float64(-23858030896292.566), np.float64(30510722528559.05)]
State: [np.float64(1.3811603559665555), np.float64(-0.3009985580799405), np.float64(1.4321947314791899), np.float64(0.00473247838180212), np.float64(-0.0063775303713692316), np.float64(0.9919566873306002)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196402117, Vel_cmd: [np.float64(12363273315567.762), np.float64(-24165699407614.867), np.float64(30870330692721.516)]
State: [np.float64(1.4148185277405119), np.float64(-0.291821414881483), np.float64(1.4417799215660407), np.float64(0.006260094297497317), np.float64(-0.005045908358689909), np.float64(1.0004209767908314)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196402217, Vel_cmd: [np.float64(12243867017701.914), np.float64(-24472737451107.418), np.float64(31228596499424.15)]
State: [np.float64(1.4484806044043184), np.float64(-0.28279932709551664), np.float64(1.451112617886359), np.float64(0.005284006328706946), np.float64(-0.007668086148458132), np.float64(1.0098117286771926)], Target: [3.0, -1.0, 4.0, 2.0], dt: 1746196402317, Vel_cmd: [np.float64(12094318488390.41), np.float64(-24787037705115.906), np.float64(31585555309144.08)]
