State: [np.float64(0.6962524379528418), np.float64(-0.5020775698551724), np.float64(1.40121397025283), np.float64(-0.1284742245431745), np.float64(-0.0035700146677948848), np.float64(-0.044212316052529)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195467295, Vel_cmd: [np.float64(15386482845292.143), np.float64(1338321045505.3584), np.float64(8336650505905.666)]
State: [np.float64(0.7256674235114143), np.float64(-0.5132411501586792), np.float64(1.4166851041194253), np.float64(-0.12515618470599846), np.float64(0.0020738759562881344), np.float64(-0.07498675989182754)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195467395, Vel_cmd: [np.float64(15510159969747.209), np.float64(1851467424694.6968), np.float64(8418340768451.122)]
State: [np.float64(0.7421114704374874), np.float64(-0.5132700730657734), np.float64(1.4252214167887485), np.float64(-0.12116596224656666), np.float64(0.00035579895519560685), np.float64(-0.0900123325382309)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195467495, Vel_cmd: [np.float64(15649862279770.533), np.float64(2127023842893.624), np.float64(8498835564147.795)]
State: [np.float64(0.746690584822478), np.float64(-0.5124578066270556), np.float64(1.4275892197213527), np.float64(-0.12299133928316787), np.float64(0.0007733826952855042), np.float64(-0.09605494486366692)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195467595, Vel_cmd: [np.float64(15805113395551.25), np.float64(2265194429384.267), np.float64(8578998761179.82)]
State: [np.float64(0.7744221384031716), np.float64(-0.5026133099826371), np.float64(1.4410307157592899), np.float64(-0.11950090605292878), np.float64(0.005056702451061924), np.float64(-0.12446516578161783)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195467695, Vel_cmd: [np.float64(15897764299039.809), np.float64(2760664192482.295), np.float64(8657279545563.672)]
State: [np.float64(0.7763999317718507), np.float64(-0.5016431649367504), np.float64(1.441910233696381), np.float64(-0.12223053061494477), np.float64(0.005783938934753273), np.float64(-0.1266501974440799)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195467796, Vel_cmd: [np.float64(16054702771346.594), np.float64(2843083565516.5513), np.float64(8735437157971.194)]
State: [np.float64(0.7777112665091427), np.float64(-0.5009053951963206), np.float64(1.4425730895567104), np.float64(-0.1186403481357887), np.float64(0.005862420244379388), np.float64(-0.12721541486960014)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195468017, Vel_cmd: [np.float64(16215901507761.973), np.float64(2899876727800.172), np.float64(8813501940821.488)]
State: [np.float64(0.7849500153593949), np.float64(-0.49668498604904743), np.float64(1.4458824246788886), np.float64(-0.11838274946812018), np.float64(0.007269869725232443), np.float64(-0.1353305240224412)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195468018, Vel_cmd: [np.float64(16353297799007.059), np.float64(3080055856051.2637), np.float64(8891103268243.223)]
State: [np.float64(0.8267651279469189), np.float64(-0.4635601483002675), np.float64(1.4630486014752166), np.float64(-0.10969580935335098), np.float64(0.012961788891278631), np.float64(-0.1832615292880144)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195468118, Vel_cmd: [np.float64(16340573348694.365), np.float64(3913631649112.5635), np.float64(8966300560559.2)]
State: [np.float64(0.8450076286494407), np.float64(-0.445543236252244), np.float64(1.4695378579185348), np.float64(-0.11035548687532429), np.float64(0.017417423940295298), np.float64(-0.2035228846455129)], Target: [2.0, 0.0, 2.0, 0.0], dt: 1746195468218, Vel_cmd: [np.float64(16408187622204.041), np.float64(4299127473646.4995), np.float64(9040589065762.002)]
